Compound name (unique),Compound name(synonyms),HMDB,KEGG,HMT ID,InChIKey
4a-Carbinolamine tetrahydrobiopterin,"4a-Carbinolamine tetrahydrobiopterin;4a-Carbinolamine tetrahydrobiopterin;4a-Hydroxy-BH4;(6R)-L-erythro-6,7-dihydrobiopterin;Quinoid-dihydrobiopterin;2-AMINO-6-(1,2-DIHYDROXY-PROPYL)-7,8-DIHYDRO-6H-PTERIDIN-4-ONE;q-H2BPT;Phloroglucinol 2-Hydrate;1.3.5-Trihydroxybenzene;(6r)-2-amino-6-[(1r,2s)-1,2-dihydroxypropyl]-6,7-dihydropteridin-4(1h)-one;erythro-quinoid dihydrobiopterin;quinonoid 6,7-dihydrobiopterin;1,3,5-Trihydroxybenzene anhydrate;1,3,5-Trihydroxybenzene anhydrous;(6R)-erythro-6,7-dihydrobiopterin;erythro-quinonoid dihydro-(6H)-biopterin;6-[(1R,2S)-1,2-Dihydroxypropyl]-6,7-dihydropterin;(6R)-6-[(1R,2S)-1,2-dihydroxypropyl]-7,8-dihydro-6H-pterin;(6R)-2-amino-6-[(1R,2S)-1,2-dihydroxypropyl]-1,4,6,7-tetrahydropteridin-4-one;(6R)-2-amino-6-[(1R,2S)-1,2-dihydroxypropyl]-7,8-dihydro-6H-pteridin-4-one;(6R)-2-amino-6-[(1R,2S)-1,2-dihydroxypropyl]-7,8-dihydropteridin-4(6H)-one;(R)-2-Amino-6-((1R,2S)-1,2-dihydroxypropyl)-6,7-dihydropteridin-4(1H)-one",HMDB0002215,C00268,,
4-Hydroxybutyric acid,"4-Hydroxybutyric acid;4-Hydroxybutanoic acid;4-Hydroxybutyric acid;Á-Hydroxybutyric acid;Á-Hydroxybutyrate;4-hydroxy-butyric acid;Butanoic acid, 4-hydroxy-;4-Hydroxybutanoate;Anetamin;Oxybate sodium;Oxybate;4-hydroxy-butanoic acid;Á Hydroxybutyric Acid;oxy-n-butyric acid;Butyric acid, 4-hydroxy-;Somsanit;GHB;3-carboxypropoxy acid;4-Hydroxyalkanoic acid;4-Hydroxybutyrate sodium;4-Hydroxycarboxylic acid;4-Hydroxybutyric acid monosodium salt;Sodium .Á.-oxybutyrate;Á-Hydroxybutyrate sodium;Sodium Á-hydroxybutyrate;30IW36W5B2;4-OHB;Á-Hydroxy sodium butyrate;Sodium .Á.-hydroxybutyrate;4 HB;4-Hydroxybuttersaeure;.Á.-Hydroxybutyric acid decomposition product;Butanoic acid, 4-hydroxy-, sodium salt;Sodium 4-hydroxybutyrate;BUTYRIC ACID, 4-HYDROXY-, SODIUM SALT;Á-Hydroxybutanoic acid;4-Hydroxyacid;.Á.-Hydroxybutyrate sodium;.Á.-Hydroxy sodium butyrate;4-Hydroxybutyric acid sodium salt;Hydroxybutyric acid monosodium salt;Á Hydroxybutyrate;Á-hydroxy butyrate;Poly(hydroxybuyric acid);Alcover;Butanoic acid, hydroxy-, homopolymer;Hydroxybutyric acid-;Polyhydroxybutyric acid;.Á.-hydroxybutyrate;Sodium Á-oxybutyrate;.Á.-Hydroxy butyrate",HMDB0000710,C01991,,
4-Methylcatechol,"4-Methylcatechol;4-Methylcatechol;3,4-Dihydroxytoluene;Homocatechol;p-Methylcatechol;4-Methyl-1,2-benzenediol;4-METHYLPYROCATECHOL;Homopyrocatechol;1,2-Dihydroxy-4-methylbenzene;p-Methylpyrocatechol;1,2-Benzenediol, 4-methyl-;4-Methyl-1,2-dihydroxybenzene;Pyrocatechol, 4-methyl-;2-Hydroxy-4-methylphenol;1-Methyl-3,4-dihydroxybenzene;5-methylcatechol;4-Methylcatehol;4-Metylcatechol;4-methyl catechol;4-methyl-catechol;4-methyl pyrocatechol;4-methyl-Pyrocatechol;4-methyl-benzene-1,2-diol;1,2-dihydroxy-5-methylbenzene;4-methyl-1,2-dihydroxy benzene",HMDB0000873,C06730,,
5-Hydroxylysine,"5-Hydroxylysine;erythro-5-Hydroxy-L-lysine;HYDROXYLYSINE;5-hydroxy-L-lysine;5-hydroxylysine;(5R)-5-hydroxy-L-lysine;(2S,5R)-2,6-diamino-5-hydroxyhexanoic acid;delta-Hydroxylysine;L-delta-Hydroxylysine;L-normal-5-hydroxylysine;L-Hydroxylysine;(2S,5R)-5-hydroxylysine;L-erythro-5-hydroxylysine;alpha,epsilon-diamino-delta-hydroxycaproic acid;d-Hydroxylysine;5R-Hydroxy-L-lysine;delta-hydroxy-L-lysine;(2S,5R)-2,6-diamino-5-hydroxyhexanoate;Alpha,epsilon-diamino-delta-hydroxycaproate;L-d-Hydroxylysine;d-Hydroxy-L-lysine;delta-dl-hydroxylysine;5-HYDROXY-LYSINE;procollagen 5-hydroxy-L-lysine;L-Lysine, 5-hydroxy-, erythro-;procollagen L-erythro-5-hydroxy-L-lysine;5-hydroxylysine;2,6-diamino-5-hydroxyhexanoic acid;5-Hydroxy-DL-lysine;dl-hydroxylysine;L-Hydroxylysine;dl-5-hydroxylysine;DL-Lysine, 5-hydroxy-;DL-delta-HYDROXYLYSINE;5-hydroxy-2,6-diaminohexanoic acid;hexonic acid, 2,6-diamino-2,3,4,6-tetradeoxy-, hydrochloride;Lysine, 5-hydroxy-;5-hydroxylysine;(2S)-2,6-diamino-5-hydroxyhexanoic acid;hydroxylysin;DL-D-Hydroxylysine;Homoserine, O-(2-aminoethyl)-;L-alpha-(2-Aminoethoxyvinyl)glycine;L-2-Amino-4-(2-aminoethoxy)butanoic acid",HMDB0000450,C16741,M00508,
5-Hydroxymethyluracil,"5-Hydroxymethyluracil;5-Hydroxymethyluracil;5-(Hydroxymethyl)uracil;5-(HYDROXYMETHYL)PYRIMIDINE-2,4(1H,3H)-DIONE;5-Oxymethyluracil;5-Hydroxymethyl uracil;2,4(1H,3H)-Pyrimidinedione, 5-(hydroxymethyl)-;5-(Hydroxymethyl)pyrimidine-2,4-diol;Uracil, 5-(hydroxymethyl)-;5-(hydroxymethyl)-1H-pyrimidine-2,4-dione;2,4-Dihydroxy-5-hydroxymethylpyrimidine;5-(Hydroxymethyl)-2,4(1H,3H)-pyrimidinedione;5-Hydroxymethyl-1H-pyrimidine-2,4-dione;Thymine, .alpha.-hydroxy-;5-(hydroxymethyl)-1,3-dihydropyrimidine-2,4-dione;5-(hydroxymethyl)-1,2,3,4-tetrahydropyrimidine-2,4-dione;4-Methyl-5-oxyuracil;Thymine, alpha-hydroxy-;5-(HYDROXYMETHYL-D2)URACIL-6-D1;a-Hydroxythymine;alpha-Hydroxythymine;hydroxymethyl uracil, AldrichCPR;2,4(1H,3H)-Pyrimidinedione, 5-(hydroxymethyl)-, hemihydrate;5-(Hydroxymethyl)pyrimidine-2,4-dione;2,3H)-Pyrimidinedione, 5-(hydroxymethyl)-;5-hydroxymethyl-2,4(1H,3H)-pyrimidinedione",HMDB0000469,C03088,M02757,
5-Methoxytryptamine,"5-Methoxytryptamine;5-METHOXYTRYPTAMINE;2-(5-Methoxy-1H-indol-3-yl)ethanamine;Mexamine;3-(2-Aminoethyl)-5-methoxyindole;Methoxytryptamine;Mexamine base;5MOT;1H-Indole-3-ethanamine, 5-methoxy-;5-Mot;2-(5-Methoxyindol-3-yl)ethylamine;O-Methylserotonin;Meksamin;5-MeOT;5-MT;2-(5-Methoxy-1H-Indol-3-Yl)Ethan-1-Amine;5-methoxy-1H-indole-3-ethanamine;INDOLE, 3-(2-AMINOETHYL)-5-METHOXY-;F5U;5-methoxy-tryptamine;5-Methoxy tryptamine;tryptamine, 5-Methoxy;2-(5-Methoxy-1H-indol-3-yl)ethylamine;Tryptamine, 5-methoxy-;2-(5-Methoxyindol-3-yl)ethylamin;5-methoxy-3-(2-aminoethyl)indole;Ethanamine,2-(5-methoxy-3-indolyl)-;2-(5-METHOXY-1H-INDOL-3-YL)-ETHYLAMINE",HMDB0004095,C05659,M00606,
5-Methyldeoxycytidine,"5-Methyldeoxycytidine;5-Methyl-2'-deoxycytidine;2'-Deoxy-5-methylcytidine;5-Methyldeoxycytidine;4-Amino-1-(4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-5-methyl-1H-pyrimidin-2-one;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidin-2-one;1-(2-Deoxy-beta-D-ribofuranosyl)-5-methylcytosine;1-(2-Deoxypentofuranosyl)-4-imino-5-methyl-1,4-dihydropyrimidin-2-ol;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-5-methyl-pyrimidin-2-one;5-Methyldeoxycytidine;5-(Methyl-d3)-2'-deoxy Cytidine;5-Methyl-2'-deoxy-cytidine;5-Methyl-2'-deoxy Cytidine;5-Methyl-2 inverted exclamation mark -deoxycytidine;5-Methyldeoxycytidine",HMDB0002224,C03592,M00640,
6-Hydroxydopamine,"6-Hydroxydopamine;oxidopamine;6-HYDROXYDOPAMINE;5-(2-aminoethyl)benzene-1,2,4-triol;2,4,5-Trihydroxyphenethylamine;Hydroxydopamine;Oxidopamina;Oxidopaminum;1,2,4-Benzenetriol, 5-(2-aminoethyl)-;Topamine;5-(2-Aminoethyl)-1,2,4-benzenetriol;5-(2-aminoethyl)benzene-1,2,4-triol;hydrobromide;6-hydroxy-dopamine;6-Hydroxy Dopamine hydrobromide;5-(2-azanylethyl)benzene-1,2,4-triol;hydrobromide",HMDB0001537,NA,M02727,
7-Dehydrocholesterol,"7-Dehydrocholesterol;7-Dehydrocholesterol;Provitamin D3;Dehydrocholesterol;7,8-Didehydrocholesterol;(-)-7-Dehydrocholesterol;Dehydrocholesterin;Cholesta-5,7-dien-3beta-ol;(3beta)-Cholesta-5,7-dien-3-ol;delta7-Cholesterol;Cholesta-5,7-dien-3-ol;5,7-Cholestadien-3-beta-ol;delta5,7-Cholesterol;UNII-BK1IU07GKF;7-Dehydrocholesterin;5,7-Cholestandien-3beta-ol;7-dehydro-cholesterol;5,7-cholestadien-3beta-ol;Cholesterol, 7-dehydro-;Cholesta-5,7-dien-3-beta-ol;Cholesta-5,7-dien-3-ol, (3.beta.)-;delta(sup 7)-Cholesterol;5,7-Cholestadien-3-.beta.-ol;Cholesta-5,7-dien-3.beta.-ol;delta(sup 5,7)-Cholesterol;cholesta-5,7-dien-3 beta-ol;provitamin-D3;.DELTA.5,7-Cholestadien-3.beta.-ol;7,8-dehydro-cholesterol;(3-BETA)-CHOLESTA-5,7-DIEN-3-OL;5,7-Cholestandien-3-ol;cholesta-5,7-dien-3b-ol;5,7-Cholestadien-3-bet-ol;(3beta)-7-Dehydro Cholesterol;cholesta-5,7-dien-3 beta -ol;Delta5,7-Cholestadien-3beta-ol;3beta-Hydroxy-5,7-cholestadiene;(3b)-Cholesta-5,7-dien-3-ol;3-bet.-Hydroxy-5,7-cholestadiene;7-Dehydrocholesterol (Provitamin D3);5,7-Cholestadien-3beta-ol monohydrate",HMDB0000032,C01164,,
Acadesine,"Acadesine;AICAR;ACADESINE;AICAR;AICA-riboside;Arasine;AICA riboside;AIC-Riboside;Acadesina;Acadesinum;5-Amino-1-beta-D-ribofuranosylimidazole-4-carboxamide;5-Amino-1-beta-D-ribofuranosyl-1H-imidazole-4-carboxamide;5-Aminoimidazole-4-carboxamide-1-beta-riboside;5-Amino-1-beta-D-ribofuranosyl-4-imidazolecarboxamide;5-Amino-4-imidazolecarboxamide ribofuranoside;5-Aminoimidazole-4-carboxamide ribonucleoside;5-Amino-1-beta-ribofuranosyl-imidazole-4-carboxamide;5-Amino-1beta-D-ribofuranosylimidazole-4-carboxyamide;5-amino-1-((2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-1H-imidazole-4-carboxamide;5-amino-1-(beta-D-ribofuranosyl)-1H-imidazole-4-carboxamide;Z-Riboside;5-Aminoimidazole-4-carboxamide riboside;5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside;Acadra;5-Aminoimidazole-4-carboxamide 1-beta-D-ribofuranoside;5-Amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-imidazole-4-carboxamide;5-Amino-1-.beta.-D-ribofuranosyl-1H-imidazole-4-carboxamide;Imidazole-4-carboxamide, 5-amino-1-beta-D-ribofuranosyl-;1H-Imidazole-4-carboxamide, 5-amino-1-beta-D-ribofuranosyl-;5-Amino-4-imidazolecarboxamide Riboside;5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]imidazole-4-carboxamide;5-amino-1-ribofuranosylimidazole-4-carboxamide;5-Amino-1-beta-ribofuranosylimidazole-4-carboxamide;5-Aminoimidazole-4-carboxamide 1-??-D-ribofuranoside;5-Amino-1-.beta.-D-ribofuranosylimidazole-4-carboxamide;N1-(?-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide;N(1)-(beta-D-ribofuranosyl)-5-aminoimidazole-4-carboxamide;N1-(beta-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide;AICAR;5-Aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside;AICAR;5-Amino-1-beta-D-ribofuranosyl-1H-imidazole-4-carboxamide;5-Aminoimidazole-4-carboxamide 1-beta-D-ribofuranoside;5-amino-1-((2R,3S,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-1H-imidazole-4-carboxamide;5-AMINO-1-[(2R,3S,5R)-3,4-DIHYDROXY-5-(HYDROXYMETHYL)OXOLAN-2-YL]IMIDAZOLE-4-CARBOXAMIDE;AICAR;5-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide;5-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-4-imidazolecarboxamide;1H-Imidazole-4-carboxamide, 5-amino-1-.beta.-D-ribofuranosyl-;5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide;5-Amino-1-beta-D-ribofuranosyl-1H-imidazole-4-carboxamide;5-Aminoimidazole-4-carboxamide riboside;5-Amino-1-.beta.-D-ribofuranosyl-1H-imidazole-4-carboxamide;5-Amino-1H-imidazole-4-carboxamide-1-beta-D-ribofuranoside;(2Z,3E)-6-Bromoindirubin-3-oxime;5-Amino-1-.beta.-ribofuranosyl-imidazole-4-carboxamide;5-Amino-1.beta.-D-ribofuranosylimidazole-4-carboxyamide;Imidazole-4-carboxamide, 5-amino-1-.beta.-D-ribofuranosyl-;5-Amino-1-(3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-1H-imidazole-4-carboxamide;5-amino-1-(3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl)imidazole-4-carboxamide;5-azanyl-1-[5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]imidazole-4-carboxamide",NA,D02742,M99054,
Acetylcholine,"Acetylcholine;acetylcholine;Choline acetate;O-Acetylcholine;(2-Acetoxyethyl)trimethylammonium;Acetyl choline ion;Acetylcholinum;Acetyl choline cation;2-(Acetyloxy)-N,N,N-trimethylethanaminium;Azetylcholin;ethanaminium, 2-(acetyloxy)-N,N,N-trimethyl-;2-acetyloxyethyl(trimethyl)azanium;[2-(acetyloxy)ethyl]trimethylazanium;2-acetyloxyethyl-trimethylazanium;[3H]acetylcholine;Acetylcholine cation;(14C)Acetylcholine;(14C)-Acetylcholine;Acetylcholinium: acetyl-Choline;(2-Acetoxyethyl)trimetilammonium;2-acetyloxy-N,N,N-trimethylethanaminium;2-acetoxyethyl(trimethyl)ammonium;bromide;2-acetoxyethyl(trimethyl)ammonium;perchlorate;ethanaminium, 2-(acetyloxy)-N,N,N-trimethyl;2-(Acetyloxy)-N,N,N-trimethylethanaminium labeled with carbon-14",HMDB0000895,C01996,M00179,
ADP-glucose,"ADP-glucose;ADP alpha-D-glucoside;Adenosine diphosphoglucose;ADPglucose;adenosine diphosphate glucose;ADENOSINE-5'-DIPHOSPHATE-GLUCOSE;Adenosine pyrophosphateglucose;Adenosine 5'-diphosphoglucose;Adenosine diphosphate D-glucose;ADP-D-glucose;ADP-alpha-D-glucose;Adenosine 5'-diphospho-glucose;ADP Glucose;ADP-D-glucoside;Adenosine pyrophosphate-glucose;Adenosine 5'-pyrophosphate glucosyl ester;Adenosine 5'-pyrophosphate mono-D-glucosyl ester;Adenosine 5'-pyrophosphate a-delta-glucosyl ester;Adenosine 5'-pyrophosphate alpha-D-glucosyl ester;Adenosine 5'-pyrophosphate mono-delta-glucosyl ester;Adenosine 5'-pyrophosphate alpha-delta-glucosyl ester;Adenosine 5'-(trihydrogen diphosphate) glucopyranosyl ester;Adenosine 5'-(trihydrogen pyrophosphate) mono-D-glucosyl ester;Adenosine 5'-(trihydrogen pyrophosphate) mono-delta-glucosyl ester;adenosine 5'-[3-(alpha-D-glucopyranosyl) dihydrogen diphosphate];Adenosine 5'-(trihydrogen diphosphate) P'-alpha-delta-glucopyranosyl ester;Adenosine 5'-(trihydrogen diphosphate), P'-alpha-D-glucopyranosyl ester",HMDB0006557,C00498,M00217,
Aldosterone,"Aldosterone;ALDOSTERONE;Electrocortin;Aldocortin;Aldocorten;Aldocortene;Elektrocortin;d-Aldosterone;18-Oxocorticosterone;[3H]aldosterone;11beta,21-Dihydroxypregn-4-ene-3,18,20-trione;Aldosteronum;18-Formyl-11beta,21-dihydroxy-4-pregnene-3,20-dione;Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11b)-;Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11beta)-;11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al;11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al, 18,11-halbacetal;11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al;11beta,21-dihydroxy-3,20-dioxo-pregn-4-ene-18-al;Aldosterona;18-Aldocorticosterone;11.beta.,21-Dihydroxypregn-4-ene-3,18,20-trione;aldosterone group;Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11.beta.)-;Aldosterone solution;18-ketocorticosterone",HMDB0000037,C01780,,
Allyl isothiocyanate,"Allyl isothiocyanate;ALLYL ISOTHIOCYANATE;MUSTARD OIL;ALLYLISOTHIOCYANATE;Allylsenevol;Allylsenfoel;Oleum sinapis;Allylsevenolum;Senfoel;Allyl isosulfocyanate;2-Propenyl isothiocyanate;Allyspol;Carbospol;Oleum sinapis volatile;Isothiocyanate d'allyle;3-Isothiocyanato-1-propene;Allyl sevenolum;Allyl thioisocyanate;Allyl isosulphocyanate;Isothiocyansaeureallylester;prop-2-enisothiocyanate;Allylisothiokyanat;allyl-iso-thiocyanate;3-isothiocyanato-propene;3-isothiocyanate-prop-1-ene;3-isothiocyanato-prop-1-ene;Potassium allyl isothiocyanate;Allyl isothiocyanate, stabilized",HMDB0005843,C19317,,
Aminomalonic acid,"Aminomalonic acid;Aminomalonate;2-Aminopropanedioic Acid;2-Aminomalonic acid;aminopropanedioic acid;alpha-Aminomalonic acid;Aminopropanedioate;amino-Malonic acid;amino-Propanedioate;a-aminomalonic acid;amino-Propanedioic acid;.alpha.-Aminomalonic acid;Propanedioic acid, 2-amino-",HMDB0001147,C00872,M99074,
Androstenedione,"Androstenedione;androstenedione;4-Androstene-3,17-dione;Androst-4-ene-3,17-dione;4-Androstenedione;Androtex;3,17-Dioxoandrost-4-ene;delta-4-Androstenedione;Fecundin;Androstendione;4-ANDROSTENE-3-17-DIONE;delta-4-Androsten-3,17-dione;delta-4-Androstene-3,17-dione;4-Androsten-3,17-dione;delta-(sup4)-Androsten-3,17-dione;delta(sup 4)-Androstene-3,17-dione;17-Ketotestosterone;Delta(4)-androsten-3,17-dione;Delta(4)-androstene-3,17-dione;.DELTA.4-Androstene-3,17-dione;adione;DELTA4-Androstene-3,17-dione;delta4-androstenedione;Androsten-3,17-dione;Testosterone EP Impurity A;D4-Androstene-3,17-dione;.delta.4-Androsten-3,17-dione;.delta.-(sup4)-Androsten-3,17-dione;Androstenedione; 3,17-Dioxo-4-andostene;androst-4-ene-3,17-dione (androstenedione);Androstenedione (Androst-4-ene-3,17-dione);4-Androstene-3,17-dione, VETRANAL(TM), analytical standard",HMDB0000053,C00280,,
Androsterone,"Androsterone;androsterone;Androkinine;Androtine;3alpha-Hydroxy-5alpha-androstan-17-one;5alpha-Androsterone;3-Epihydroxyetioallocholan-17-one;cis-Androsterone;3alpha-Hydroxyetioallocholan-17-one;5alpha-Androstane-3alpha-ol-17-one;3alpha-Hydroxy-17-androstanone;Androstanon-3-alpha-ol-17-one;3-alpha-Hydroxy-17-androstanone;3-alpha-Hydroxy-5-alpha-androstan-17-one;3-alpha-Hydroxyetioallocholan-17-one;5-alpha-Androstan-3-alpha-ol-17-one;(3alpha,5alpha)-3-hydroxyandrostan-17-one;Androstan-17-one, 3-hydroxy-, (3alpha,5alpha)-;5alpha-Androstan-17-one, 3alpha-hydroxy-;5alpha-Androstan-3alpha-ol-17-one;5.alpha.-Androsterone;5-alpha-Androstan-17-one, 3-alpha-hydroxy-;3.alpha.-Hydroxy-17-androstanone;3.alpha.-Hydroxyetioallocholan-17-one;5.alpha.-Androstane-3.alpha.-ol-17-one;5.alpha.-Androstan-17-one, 3.alpha.-hydroxy-;iso-Androsterone;d-Epiandrosterone;3-Epiandrosterone;Androsterone, epi-;3-Hydroxyandrostan-17-one;EPA Pesticide Chemical Code 126501;3-.beta.Hydroxyandrostan-17-one;androsterone group;5.alpha.-Androstan-3.beta.-ol-17-one;5  -Androsterone;5-alpha-Androsterone;3.beta.-Hydroxy-5.alpha.-androstan-17-one;5-alpha-Androstane-3alpha-ol-17-one;3alpha-hydroxy-5alpha-androstane-17-one;3-alpha-hydroxy-5alpha-Androstan-17-one;3-alpha-Hydroxy-5-alpha-androstane-17-one;Androstan-17-one, 3alpha-hydroxy-, 5alpha-;3-hydroxy-(3-alpha,5-alpha)-Androstan-17-one",HMDB0000031,C00523,,
Ascorbate,"Ascorbate;Vitamin C;ascorbic acid;vitamin C;l-ascorbic acid;L(+)-Ascorbic acid;ascorbate;Cevitamic;ascorbate (Vitamin C) acid;Ascoltin;Ascorbicap;Cenolate;Natrascorb;Hybrin;Allercorb;Ascorbajen;Ascorbutina;Ascorteal;Cescorbat;Cetemican;Cevitamin;Citriscorb;Laroscorbine;Lemascorb;Proscorbin;Roscorbic;Secorbate;Testascorbic;Vitacimin;Vitamisin;Vitascorbol;Ascorin;Ascorvit;Cantaxin;Cebicure;Cebione;Cegiolan;Ceglion;Celaskon;Cemagyl;Cenetone;Cergona;Cetamid;Cevalin;Cevatine;Cevimin;Cevital;Cevitan;Cevitex;Colascor;Concemin;Redoxon;Vicelat;Viforcit;Viscorin;Vitacee;Vitacin;Adenex;Ascorb;Cantan;Cebid;Cebion;Cecon;Cemill;Cereon;Cevex;Ciamin;Cipca;Hicee;Ribena;Vitace;Xitix;L-ascorbate;Davitamon C;Arco-cee;Planavit C;Catavin C;Ce lent;Liqui-Cee;Vicomin C;Cee-Vite;Cevi-Bid;Scorbu-C;C-Level;C-Vimin;Cetane-Caps TD;Duoscorb;Scorbacid;Cewin;Antiscorbic vitamin;C-Long;C-Quin;C-Span;Meri-C;Cee-Caps TD;L-Lyxoascorbic acid;L-Xyloascorbic acid;Antiscorbutic vitamin;Cetane-Caps TC;3-Oxo-L-gulofuranolactone;Natrascorb injectable;L-(+)-Ascorbic Acid;CE-VI-Sol;Ferrous ascorbate;Acidum ascorbinicum;Acidum ascorbicum;Kyselina askorbova;3-Keto-L-gulofuranolactone;Cortalex;Ferancee;Stuartinic;Tolfrinic;Acido ascorbico;Acide ascorbique;Antiscorbutic factor;L-3-Ketothreohexuronic acid lactone;L-Threoascorbic acid;Chromagen;Vicin;Sodascorbate;Ascorbicin;L-threo-Hex-2-enonic acid, Á-lactone;L-threo-Ascorbic acid;monodehydro-L-ascorbic acid;Cetebe;Ascorbin;(+)-Ascorbic acid;Iron(II) ascorbate;component of E and C-Level;component of Endoglobin Forte;Vasc;Ascorbicab;component of Cortalex;component of Ferancee;hex-1-enofuranos-3-ulose;Iron-ascorbic acid complexes;Kangbingfeng;Chewcee;Citrovit;Juvamine;Ceklin;(+)-Sodium L-ascorbate;Rovimix C;Scorbu C;Ascorbinsaeure;Parentrovite;L(+)-Ascorbic acid, ACS reagent;(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one;Ronotec 100;Suncoat VC 40;(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2,5-dihydrofuran-2-one;L-Ascorbic acid, meets USP testing specifications;2-(1,2-Dihydroxyethyl)-4,5-dihydroxyfuran-3-one;Cevitamate;Ascor;L-lyxoascorbate;L-xyloascorbate;.Ascorbinsaure;Vitamin B mixture with vitamin C;Ester C;Ester-C;(+)-ascorbate;L(+)-ascorbate;L-threo-hex-2-enono-1,4-lactone;L-Ascorbic acid, free radical form;L-(+)-ascorbate;Ascorbic acid mixture with Vitamin B;Vitamin C,(S);(2R)-2-[(1S)-1,2-dihydroxyethyl]-4,5-dihydroxyfuran-3-one;(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxyfuran-2(5H)-one;(r)-5-(1,2-dihydroxy-ethyl)-3,4-dihydroxy-5h-furan-2-one;(2R)-2-[(1S)-1,2-Dihydroxyethyl]-4,5-dihydroxy-furan-3-one;Á-lactone L-threo-Hex-2-enonate;L-Ascorbic acid, analytical standard;L-Ascorbic acid, mixt. with vitamin B;Á-lactone L-threo-Hex-2-enonic acid;L-Ascorbic acid, plant cell culture tested;L-Ascorbic acid, reagent grade, crystalline;Ascorbic Acid (L-Ascorbic Acid; Vitamin C);L-Ascorbic acid, tested according to Ph.Eur.;L-Ascorbic acid 1000 microg/mL in Acetonitrile;Ascorbic acid, British Pharmacopoeia (BP) Reference Standard;Ascorbic acid, European Pharmacopoeia (EP) Reference Standard;L-Ascorbic acid, powder, cell culture tested, Á-irradiated;3,4-Dihydroxy-5beta-[(S)-1,2-dihydroxyethyl]furan-2(5H)-one;Ascorbic acid, United States Pharmacopeia (USP) Reference Standard;(2R)-2-[(1S)-1,2-dihydroxyethyl]-4,5-dihydroxy-2,3-dihydrofuran-3-one;4-((E)-2-[(2-HYDROXYETHYL)SULFANYL]DIAZENYL)BENZENECARBOXYLICACID",NA,C00072,M00151,
Bilirubin,Bilirubin;bilirubin;Bilibubin;Calcium bilirubinate;Basinite;Bilirubin IX alpha,HMDB0000054,C00486,,
Biliverdin,Biliverdin;biliverdin;biliverdine;uteroverdine;dehydrobilirubin;Oocyan;Biliverdin IX;Biliverdine dihydrochloride;biliverdin;biliverdin;biliverdine;Oocyan;uteroverdine;dehydrobilirubin;alpha-Biliverdin;biliverdin;biliverdin;biliverdine;uteroverdine;Oocyan;dehydrobilirubin;biliverdin;uteroverdine;biliverdine;Oocyan;Biliverdin IXalpha;Protobiliverdin IXa;biliverdin,HMDB0001008,C00500,,
Bradykinin,Bradykinin;L-Bradykinin;Synthetic bradykinin,HMDB0004246,C00306,,
