,Pancreas tumor vs Normal pancreas,Pancreas tumor vs Normal area of the pancreas with tumor,Normal area of the pancreas with tumor vs Normal pancreas
Lenticin,NA,0.94095038,NA
Tryptophanamide,NA,NA,NA
Tryptophanamide,NA,1.065658184,NA
Tyrosine,0.405001295,2.394302926,0.16915207
Tyrosine,0.373537992,2.501418987,0.149330438
Tyrosine,0.365402384,2.546650021,0.143483549
Tyrosine,0.376400461,2.489851787,0.151173842
UDP-glucuronic acid,NA,NA,NA
Uracil,NA,NA,NA
Uracil,0.495280145,4.810909178,0.102949386
Uric acid,12.73811588,1.009722083,12.61546726
Uric acid,57.90812826,1.427663918,40.56145675
Uric acid,NA,3.769796583,NA
Uric acid,1.124407531,1.305854862,0.861050921
Uric acid,1.285973547,NA,NA
Uric acid,NA,NA,NA
Uric acid,NA,NA,NA
Urea,NA,0.519227872,NA
Urea,NA,1.118575907,NA
Uridine,0.596926338,1.008149944,0.59210075
Uridine,2.951344762,0.92124144,3.203660445
Uridine,0.65804584,1.014438475,0.648679892
Uridine,0.65804584,1.014438475,0.648679892
Uridine,2.944675572,0.92124144,3.196421095
Uridine,0.339847437,1.819617649,0.186768598
Uridine,0.71015302,1.713193183,0.414520106
Uridine,0.62446498,1.875323374,0.33299056
Uridine,0.31362746,1.923990488,0.163008841
Uridine,0.341667743,1.838544357,0.185836007
UMP,NA,0.91109587,NA
UMP,0.559093697,9.37033504,0.059666351
UMP,NA,NA,NA
UDP,NA,1.308697473,NA
UDP,NA,NA,0.86642406
UDP,0.107314216,NA,NA
Uridine 5'-Diphospho-N-acetylgalactosamine,NA,NA,NA
Uridine 5'-Diphospho-N-acetylgalactosamine,NA,NA,NA
UDP-glucuronic acid,0.078507496,1.341775818,0.058510144
UDP-glucose,0.20611569,1.381371281,0.149210928
UDP-glucuronic acid,NA,NA,NA
UDP-glucuronic acid,0.289684455,3.919569787,0.073907207
UTP,NA,NA,NA
L-Urobilin,NA,NA,NA
L-Urobilin,NA,NA,NA
Urocanic acid,NA,0.389689302,NA
Urocanic acid,NA,NA,0.06889081
Ursodeoxycholic acid,NA,0.954812924,NA
Valine,0.110760302,1.239253185,0.089376653
Valine,0.541877825,2.203165603,0.245954196
Valine,0.554361297,2.194692691,0.252591763
Valine,0.565273418,2.189553146,0.258168394
Vitamin B12,NA,NA,NA
Vitamin B12,NA,NA,NA
Vitamin D2,NA,NA,NA
Vitamin D3,NA,NA,1.112930626
Vitamin D3,NA,4.237704333,NA
Xanthine,27.81082036,2.967678575,9.37123737
Xanthine,0.548498689,1.672729232,0.327906441
Xanthine,0.546189253,1.669185048,0.327219114
Xanthosine,NA,2.555609611,NA
Xanthosine,1.205449821,21.68609144,0.055586311
XMP,0.271484606,2.024312931,0.134111975
Xanthurenic acid,NA,2.630634779,NA
